Date,Cloudiness,Rainfall,Max Temperature,Min Temperature,Humidity,Mean Temperature,Reservoir Level inFeet,UnderGround Water Level in Meter,Flood Outcome
01-31-90,6.5913979999999999,234.3,30.525805999999999,23.122581,83.846773999999996,26.208386999999998,67,2,0
02-28-90,7.5714290000000002,190,30.307143,23.114286,83.157407000000006,26.09,60,1.5,0
03-31-90,7.0430109999999999,299.2,30.548387000000002,23.070968000000001,84.758065000000002,26.055484,78,2,0
04-30-90,6.6404490000000003,236.4,30.343333000000001,22.91,84.836207000000002,26.046897000000001,68,2,0
05-31-90,6.5161290000000003,244.6,31.2,23.338709999999999,82.225806000000006,26.776774,70,2.2999999999999998,0
06-30-90,5.539326,89.3,31.296666999999999,23.236667000000001,79.405171999999993,26.859310000000001,66,2,0
07-31-90,5.6881719999999998,173.9,30.854838999999998,23.032257999999999,75.927419,26.794194000000001,45,1,0
08-31-90,3.9714290000000001,55.4,31.72,22.911999999999999,71.521738999999997,27.033912999999998,35,0.5,0
09-30-90,4.411111,39,32.536667000000001,23.27,70.358333000000002,27.883333,30,0.5,0
10-31-90,5.1397849999999998,79.400000000000006,32.812902999999999,23.63871,70.064515999999998,27.830967999999999,45,1,0
11-30-90,4.8444440000000002,37.9,33.723332999999997,24.183333000000001,66.733333000000002,28.709333000000001,35,1,0
12-31-90,7.1720430000000004,137.9,32.06129,24.158065000000001,75.491934999999998,27.674838999999999,57,2,0
01-31-91,7.7934780000000003,278.5,29.951612999999998,23.025805999999999,84.5,26.176129,80,3,0
02-28-91,7.1071429999999998,223.8,30.603570999999999,23.335713999999999,83.080357000000006,26.494285999999999,70,2.5,0
03-31-91,8.2043009999999992,309.2,29.964516,23.119354999999999,87.016129000000006,25.998065,90,3,0
04-30-91,7.4444439999999998,342.9,30.506667,22.79,83.825000000000003,26.137333000000002,120,5.4,1
05-31-91,6.6881719999999998,322.2,30.241935000000002,23.135484000000002,84.104838999999998,26.316773999999999,100,3.5,0
06-30-91,6.3888889999999998,137.9,30.84,23.546666999999999,80.916667000000004,26.893999999999998,89,2.5,0
07-31-91,5.6881719999999998,173.9,30.854838999999998,23.032257999999999,75.927419,26.794194000000001,68,2,0
08-31-91,3.9714290000000001,55.4,31.72,22.911999999999999,71.521738999999997,27.033912999999998,35,1,0
09-30-91,4.411111,39,32.536667000000001,23.27,70.358333000000002,27.883333,23,0.5,0
10-31-91,5.1397849999999998,79.400000000000006,32.812902999999999,23.63871,70.064515999999998,27.830967999999999,30,1,0
11-30-91,4.8444440000000002,37.9,33.723332999999997,24.183333000000001,66.733333000000002,28.709333000000001,20,1,0
12-31-91,7.1720430000000004,137.9,32.06129,24.158065000000001,75.491934999999998,27.674838999999999,30,2,0
01-31-92,6.9456519999999999,236.5,32.051613000000003,23.880645000000001,77.933333000000005,27.386666999999999,80,3,0
02-29-92,7.3908050000000003,262.7,31.227585999999999,23.544827999999999,78.991378999999995,27.041378999999999,88,3.5,0
03-31-92,7.7191010000000002,347.8,30.354838999999998,23.06129,84.657407000000006,26.191852000000001,120,5.4,1
04-30-92,7.8988759999999996,218.6,31.47,23.65,81.775862000000004,27.074483000000001,80,3.5,0
05-31-92,5.6881719999999998,118.8,32.161290000000001,23.690322999999999,76.95,27.123225999999999,70,2,0
06-30-92,3.1888890000000001,61,32.083333000000003,23.17,77.141666999999998,27.095333,50,1.5,0
07-31-92,4.4301079999999997,90.3,31.587097,22.477419000000001,72.483870999999994,27.093547999999998,78,2,0
08-31-92,6.3440859999999999,100.3,31.261289999999999,22.229032,76.911289999999994,26.494194,85,3,0
09-30-92,5.0222220000000002,90,33.04,23.653333,73.416667000000004,28.059332999999999,80,3,0
10-31-92,5.247312,87.4,32.483871000000001,23.56129,75.338710000000006,27.689032000000001,80,3,0
11-30-92,7.0111109999999996,71.2,32.226666999999999,23.69,77.258332999999993,27.621333,75,2.5,0
12-31-92,6.6881719999999998,265.60000000000002,30.306452,22.867742,85.403226000000004,26.150967999999999,90,3.5,0
01-31-93,6.3225809999999996,436.5,30.248387000000001,22.754839,85.862903000000003,26.043226000000001,134,6.3,1
02-28-93,7.0714290000000002,617.4,29.889285999999998,22.425000000000001,85.455357000000006,25.729285999999998,160,8.1,1
03-31-93,6.8817199999999996,229.3,30.103225999999999,22.738710000000001,86.483870999999994,25.855484000000001,100,2.5,0
04-30-93,6.766667,370.3,30.176666999999998,22.893332999999998,86.683333000000005,26.047999999999998,120,5.7,1
05-31-93,5.3440859999999999,96.8,31.248387000000001,23.251612999999999,81.282257999999999,27.178709999999999,60,2,0
06-30-93,4.588889,61.5,31.37,23.276667,77.816666999999995,27.311333000000001,34,1,0
07-31-93,5.0752689999999996,34.6,31.390322999999999,22.793548000000001,76.201612999999995,26.818065000000001,15,0.5,0
08-31-93,5.1428570000000002,47.7,31.751612999999999,22.945160999999999,74.2,27.427333000000001,30,0.5,0
09-30-93,5.9888890000000004,21.9,33.236666999999997,23.86,70.875,28.068000000000001,15,0.4,0
10-31-93,7.1290319999999996,99.8,32.222580999999998,23.312902999999999,81.466667000000001,26.987742000000001,50,1.5,0
11-30-93,7.766667,256.3,31.153333,23.143332999999998,87.258332999999993,26.472000000000001,90,2.5,0
12-31-93,7.0860219999999998,251.3,30.954839,23.109677000000001,86.637096999999997,26.554193999999999,89,2.5,0
01-31-94,8.3548390000000001,371.1,29.9,22.490323,91.016129000000006,25.776129000000001,130,5.7,1
